#                True Energy   Murnaghan        Birch-Murnaghan   Poirier-Tarantola
#Volume(Ang^3)   E(kJ/mol)     E_fit(kJ/mol)    E_fit(kJ/mol)     E_fit(kJ/mol)    
337.508473	-813847.161824		-813846.988928	-813847.058865	-813847.134164
333.654574	-813849.994612		-813849.962136	-813849.978941	-813849.991288
329.953023	-813852.458241		-813852.505835	-813852.491275	-813852.468816
326.636487	-813854.403737		-813854.504630	-813854.475412	-813854.438641
324.218483	-813855.683014		-813855.783317	-813855.749912	-813855.710534
322.013479	-813856.723857		-813856.810382	-813856.777014	-813856.739702
319.822761	-813857.643200		-813857.692858	-813857.662435	-813857.630359
317.983981	-813858.269130		-813858.322500	-813858.296280	-813858.270373
315.871534	-813858.868864		-813858.914967	-813858.894981	-813858.877448
314.104269	-813859.276290		-813859.298467	-813859.284450	-813859.274475
312.356311	-813859.544563		-813859.572980	-813859.565203	-813859.562782
310.728547	-813859.744352		-813859.731226	-813859.729299	-813859.733669
309.080125	-813859.847803		-813859.792080	-813859.795878	-813859.806614
307.318402	-813859.830853		-813859.742248	-813859.751697	-813859.768397
306.281361	-813859.705463		-813859.655517	-813859.667969	-813859.687672
303.495814	-813859.267875		-813859.202784	-813859.221729	-813859.247238
302.172377	-813858.918908		-813858.870923	-813858.891989	-813858.918955
300.758502	-813858.462832		-813858.429671	-813858.452218	-813858.479734
299.511364	-813857.982560		-813857.963765	-813857.986897	-813858.014004
298.028332	-813857.383119		-813857.313091	-813857.335998	-813857.361510
296.810965	-813856.747592		-813856.698046	-813856.720002	-813856.743311
295.586040	-813856.042554		-813856.003225	-813856.023523	-813856.043824
294.405260	-813855.299622		-813855.259225	-813855.277268	-813855.293951
293.256162	-813854.470581		-813854.463234	-813854.478484	-813854.491016
292.149370	-813853.630421		-813853.627585	-813853.639616	-813853.647613
288.952715	-813850.783039		-813850.817026	-813850.817256	-813850.809844
286.951332	-813848.688448		-813848.741443	-813848.732906	-813848.714829
284.177966	-813845.341937		-813845.436216	-813845.414966	-813845.382371
282.381583	-813842.960066		-813843.014648	-813842.985642	-813842.944824
278.187125	-813836.356966		-813836.436394	-813836.395284	-813836.344172
274.681372	-813829.823244		-813829.863177	-813829.825470	-813829.783147
271.167453	-813822.221461		-813822.194617	-813822.182714	-813822.175681
267.537387	-813813.104507		-813813.028402	-813813.079965	-813813.150580
